slots,time
1,6.06493 s
2,3.52138 s
3,2.60691 s
4,2.24506 s
5,1.95205 s
6,1.79575 s
7,1.64830 s
8,1.56582 s
9,1.51465 s
10,1.45961 s
11,1.41761 s
12,1.37301 s
13,1.34568 s
14,1.37134 s
15,1.30199 s
16,1.29294 s
17,1.25300 s
18,1.23893 s
19,1.21961 s
20,1.20384 s
21,1.20300 s
22,1.18714 s
23,1.17265 s
24,1.16061 s
25,1.15496 s
26,1.14577 s
27,1.13490 s
28,1.12802 s
29,1.12810 s
30,1.12168 s
31,1.11523 s
32,1.10752 s
33,1.10478 s
34,1.10263 s
35,1.10093 s
36,1.10030 s
37,1.09264 s
38,1.08585 s
39,1.09322 s
40,1.08405 s
41,1.09732 s
42,1.09358 s
43,1.08549 s
44,1.09218 s
45,1.08319 s
46,1.07629 s
47,1.09750 s
48,1.10403 s
49,1.09984 s
50,1.10486 s
51,1.10918 s
52,1.09393 s
53,1.10088 s
54,1.09468 s
55,1.09765 s
56,1.05652 s
57,1.10986 s
58,1.09447 s
59,1.10882 s
60,1.05052 s
61,1.10136 s
62,1.11401 s
63,1.11678 s
64,1.09510 s
65,1.09660 s
66,1.09903 s
67,1.10943 s
68,1.10007 s
69,1.10149 s
70,1.09849 s
71,1.04092 s
72,1.04297 s
73,1.03399 s
74,1.05436 s
75,1.05268 s
76,1.05864 s
77,1.05945 s
78,1.06255 s
79,1.06356 s
80,1.06550 s
81,1.06942 s
82,1.07146 s
83,1.07448 s
84,1.07630 s
85,1.02523 s
86,1.02187 s
87,1.03357 s
88,1.03754 s
89,1.04134 s
90,1.04077 s
91,1.04792 s
92,1.04820 s
93,1.05729 s
94,1.04939 s
95,1.05240 s
96,1.05476 s
97,1.05633 s
98,1.05614 s
99,1.05824 s
100,1.06204 s
101,1.01375 s
102,1.01914 s
103,1.01991 s
104,1.02506 s
105,1.02873 s
106,1.03324 s
107,1.04243 s
108,1.03940 s
109,1.04104 s
110,1.04241 s
111,1.02424 s
112,1.06737 s
113,1.04774 s
114,1.06238 s
115,1.04094 s
116,1.07156 s
117,1.03916 s
118,1.03802 s
119,1.04446 s
120,1.00430 s
121,1.01171 s
122,1.01422 s
123,1.01764 s
124,1.02121 s
125,1.02493 s
126,1.02731 s
127,1.03014 s
128,1.03412 s
129,1.03670 s
130,1.00187 s
131,1.00111 s
132,1.00882 s
133,1.01375 s
134,1.01589 s
135,1.01822 s
136,1.02411 s
137,1.02441 s
138,1.02598 s
139,1.02979 s
